"Numero di Clusters";"AngelaIndex";"Individui per cluster (Numero cluster: numero elementi)";"Numero di riga";"Cluster"
3;0.635;"0 : 18,1 : 80,2 : 53";70;"1 1 2 0 0 0 2 2 0 0 1 2 2 2 0 2 2 2 2 2 2 2 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 2 2 1 2 2 0 1 2 2 2 2 2 1 2 2 2 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.624;"0 : 25,1 : 79,2 : 47";77;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 1 2 2 0 0 2 2 2 2 2 1 2 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
4;0.658;"0 : 29,1 : 68,2 : 37,3 : 17";90;"1 1 2 3 0 0 2 3 0 0 1 3 2 3 0 3 3 3 2 3 0 2 3 0 3 2 3 3 0 0 3 3 3 2 0 2 0 3 2 2 2 2 2 2 2 2 2 2 0 2 2 0 0 0 2 2 2 0 2 0 2 2 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 0 2 1 1 1 2 1 1 1 1 1 1 1 2 0 1 0 1 1 1 1 2 3 1 1 1 1 0 2 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
4;0.655;"0 : 29,1 : 102,2 : 11,3 : 9";100;"1 1 0 2 0 0 0 2 0 1 0 2 0 2 3 2 2 2 3 2 0 3 1 0 0 1 2 1 0 1 2 0 0 1 0 1 1 2 1 0 1 1 1 1 1 1 1 1 0 1 1 3 1 3 1 1 1 0 1 0 1 3 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 0 3 1 3 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
5;0.725;"0 : 15,1 : 104,2 : 14,3 : 9,4 : 9";98;"1 1 0 2 0 0 0 2 0 1 3 2 0 2 4 2 2 2 4 2 2 4 1 0 2 1 2 1 0 1 2 0 2 1 3 1 1 2 1 4 1 1 1 1 1 1 1 1 3 1 1 4 1 4 1 1 1 3 1 3 1 4 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 3 1 1 1 1 1 0 0 1 1 1 3 4 1 1 3 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
5;0.723;"0 : 16,1 : 103,2 : 14,3 : 9,4 : 9";102;"1 1 0 2 0 0 0 2 0 1 3 2 0 2 4 2 2 2 4 2 2 4 1 0 2 1 2 1 0 1 2 0 2 1 3 1 0 2 1 4 1 1 1 1 1 1 1 1 3 1 1 4 1 4 1 1 1 3 1 3 1 4 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 3 1 1 1 1 1 0 0 1 1 1 3 4 1 1 3 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
6;0.719;"0 : 42,1 : 43,2 : 10,3 : 46,4 : 5,5 : 5";155;"0 1 2 3 0 0 0 0 0 0 4 3 2 3 0 3 3 3 5 3 0 5 3 0 3 2 3 3 0 0 0 0 0 3 0 3 0 0 3 5 5 3 3 3 3 3 0 3 4 3 3 0 0 0 3 3 3 0 1 0 3 0 3 3 2 3 3 1 3 0 3 0 1 3 3 1 3 3 0 3 2 0 0 3 1 3 3 1 3 1 0 1 3 4 3 0 1 0 1 1 1 1 3 3 2 1 1 1 4 0 5 0 0 0 1 1 1 0 2 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 2 1 1 4 1 2 1 1 1 1 3 1 2 1 1 1 "
6;0.718;"0 : 43,1 : 45,2 : 42,3 : 7,4 : 6,5 : 8";154;"0 1 2 0 0 0 0 0 0 1 3 0 2 0 4 5 5 5 0 5 0 4 5 0 5 2 5 2 0 0 0 0 0 2 3 2 0 0 5 0 0 2 2 2 0 2 2 2 3 2 2 0 0 0 2 2 2 0 1 0 2 4 2 2 2 2 2 1 2 0 2 0 1 2 2 1 2 2 4 2 2 0 0 2 1 2 2 1 2 1 0 1 2 3 2 0 1 3 1 1 1 1 2 0 0 1 1 1 3 4 0 4 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 2 1 1 3 1 2 1 1 1 1 2 1 2 1 1 1 "
