"Numero di Clusters";"DB index";"Individui per cluster (Numero cluster: numero elementi)";"Numero di riga";"Cluster"
3;2.501;"0 : 35,1 : 105,2 : 11";108;"0 0 1 0 0 0 1 0 0 0 2 0 1 1 0 1 1 1 0 1 1 0 1 0 1 1 1 1 0 1 1 0 1 1 2 1 0 1 1 0 1 1 1 1 1 1 1 1 2 1 1 0 2 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 2 1 0 1 2 1 1 1 1 1 1 1 1 1 1 2 0 1 0 2 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 "
3;2.527;"0 : 45,1 : 97,2 : 9";140;"0 0 0 1 0 0 0 0 0 0 2 1 0 1 0 1 1 1 0 1 0 0 1 0 1 1 1 1 0 1 0 0 0 1 2 1 0 0 1 0 1 1 1 1 1 1 1 1 2 1 1 0 2 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 2 1 0 1 2 1 1 1 1 1 1 0 1 1 1 2 0 0 0 2 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 "
3;2.55;"0 : 36,1 : 104,2 : 11";116;"0 0 1 0 0 0 1 0 0 0 2 0 1 1 0 1 1 1 0 1 0 0 1 0 1 1 1 1 0 1 1 0 1 1 2 1 0 1 1 0 1 1 1 1 1 1 1 1 2 1 1 0 2 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 2 1 0 1 2 1 1 1 1 1 1 1 1 1 1 2 0 1 0 2 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 "
3;2.622;"0 : 39,1 : 105,2 : 7";40;"0 1 2 0 0 0 2 1 0 0 0 1 0 0 0 0 1 1 2 1 1 0 1 1 1 2 1 1 0 0 1 1 1 1 0 0 0 1 1 0 2 1 1 1 1 1 2 1 0 1 1 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0 1 2 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;2.661;"0 : 44,1 : 100,2 : 7";45;"0 1 2 0 0 0 2 1 0 0 0 1 0 0 0 0 1 1 2 1 0 0 1 1 1 2 1 1 0 0 1 1 0 1 0 0 0 1 1 0 2 1 1 1 1 1 2 1 0 1 1 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 0 1 2 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;2.749;"0 : 43,1 : 101,2 : 7";44;"0 1 2 0 0 0 2 1 0 0 0 1 0 0 0 0 1 1 2 1 0 0 1 1 1 2 1 1 0 0 1 1 0 1 0 0 0 1 1 0 2 1 1 1 1 1 2 1 0 1 1 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0 1 2 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;3.276;"0 : 44,1 : 98,2 : 9";94;"0 0 1 0 0 2 1 2 0 0 0 0 1 2 0 2 0 0 1 2 2 1 2 0 0 1 0 2 0 0 0 0 0 1 0 1 0 2 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;3.54;"0 : 42,1 : 92,2 : 17";97;"0 0 1 2 0 0 1 2 0 0 0 2 1 0 0 2 2 2 1 2 0 1 2 0 2 1 2 2 0 0 2 2 0 1 0 2 0 2 2 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 1 1 1 0 0 0 1 0 2 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 "
3;3.627;"0 : 45,1 : 96,2 : 10";106;"0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 1 2 1 0 0 1 0 1 1 1 1 1 1 1 1 2 1 1 0 2 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 0 1 2 1 1 1 1 1 0 0 1 1 1 2 0 1 0 2 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;3.676;"0 : 45,1 : 94,2 : 12";64;"0 1 0 0 0 2 0 2 0 0 0 0 0 2 0 2 0 0 0 2 2 0 2 0 2 0 0 2 0 0 2 0 2 1 0 1 0 2 1 1 0 1 1 1 1 1 0 1 0 1 1 0 0 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
