"Numero di Clusters";"DB index";"Individui per cluster (Numero cluster: numero elementi)";"Numero di riga";"Cluster"
3;3.971;"0 : 39,1 : 19,2 : 93";12;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 0 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 0 2 2 2 2 0 0 2 0 0 2 2 1 2 2 2 2 0 2 2 2 2 2 2 0 2 0 2 2 0 0 2 2 2 1 2 2 2 2 2 2 2 1 2 0 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 0 0 2 0 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;3.981;"0 : 35,1 : 22,2 : 94";6;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 0 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 0 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 0 0 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
4;4.548;"0 : 35,1 : 102,2 : 9,3 : 5";43;"0 1 2 0 0 0 2 1 0 0 0 1 0 0 3 0 1 1 2 1 0 2 1 1 1 2 1 1 0 0 1 1 0 1 0 0 0 1 1 2 2 1 1 1 1 1 2 1 3 1 1 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 2 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 3 1 3 1 1 1 1 3 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
4;4.949;"0 : 42,1 : 92,2 : 12,3 : 5";46;"0 1 2 0 0 3 2 1 0 0 0 1 0 3 0 0 1 1 2 1 0 0 1 3 1 2 1 1 0 0 3 1 3 1 0 0 0 1 1 2 2 1 1 1 1 1 2 1 0 1 1 0 0 0 0 1 1 0 0 0 2 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 2 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 2 0 1 0 1 1 1 1 0 1 0 1 1 0 0 2 1 0 0 1 1 1 1 0 2 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
5;5.885;"0 : 26,1 : 98,2 : 12,3 : 7,4 : 8";126;"1 1 0 2 0 0 0 2 0 1 3 2 0 2 4 2 2 2 4 2 0 4 1 0 2 1 2 1 0 1 2 0 0 1 3 1 0 2 1 0 1 1 1 1 1 1 1 1 3 1 1 4 0 0 1 1 1 0 1 0 1 4 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 0 1 1 3 1 0 1 3 1 1 1 1 1 0 0 1 1 1 3 4 1 4 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
5;5.901;"0 : 24,1 : 98,2 : 12,3 : 8,4 : 9";121;"1 1 0 2 0 0 0 2 0 1 3 2 0 2 4 2 2 2 4 2 0 4 1 0 2 1 2 1 0 1 2 0 0 1 3 1 0 2 1 0 1 1 1 1 1 1 1 1 3 1 1 4 0 4 1 1 1 0 1 0 1 4 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 0 1 1 3 1 0 1 3 1 1 1 1 1 0 0 1 1 1 3 4 1 4 3 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
6;5.879;"0 : 42,1 : 43,2 : 10,3 : 46,4 : 5,5 : 5";155;"0 1 2 3 0 0 0 0 0 0 4 3 2 3 0 3 3 3 5 3 0 5 3 0 3 2 3 3 0 0 0 0 0 3 0 3 0 0 3 5 5 3 3 3 3 3 0 3 4 3 3 0 0 0 3 3 3 0 1 0 3 0 3 3 2 3 3 1 3 0 3 0 1 3 3 1 3 3 0 3 2 0 0 3 1 3 3 1 3 1 0 1 3 4 3 0 1 0 1 1 1 1 3 3 2 1 1 1 4 0 5 0 0 0 1 1 1 0 2 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 2 1 1 4 1 2 1 1 1 1 3 1 2 1 1 1 "
6;6.656;"0 : 43,1 : 45,2 : 42,3 : 7,4 : 6,5 : 8";154;"0 1 2 0 0 0 0 0 0 1 3 0 2 0 4 5 5 5 0 5 0 4 5 0 5 2 5 2 0 0 0 0 0 2 3 2 0 0 5 0 0 2 2 2 0 2 2 2 3 2 2 0 0 0 2 2 2 0 1 0 2 4 2 2 2 2 2 1 2 0 2 0 1 2 2 1 2 2 4 2 2 0 0 2 1 2 2 1 2 1 0 1 2 3 2 0 1 3 1 1 1 1 2 0 0 1 1 1 3 4 0 4 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 2 1 1 3 1 2 1 1 1 1 2 1 2 1 1 1 "
