"Numero di Clusters";"DB index";"Individui per cluster (Numero cluster: numero elementi)";"Numero di riga";"Cluster"
3;4.003;"0 : 33,1 : 22,2 : 96";23;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 0 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 2 0 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;4.065;"0 : 32,1 : 22,2 : 97";21;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 2 0 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;4.089;"0 : 34,1 : 22,2 : 95";24;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 0 1 2 2 2 2 0 2 1 2 2 0 0 2 2 2 0 2 2 2 1 2 0 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;4.154;"0 : 33,1 : 22,2 : 96";22;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 0 2 1 2 2 0 0 2 2 2 0 2 2 2 1 2 0 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;4.176;"0 : 31,1 : 22,2 : 98";20;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 2 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 2 0 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;4.236;"0 : 28,1 : 27,2 : 96";19;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 2 0 2 2 2 2 0 0 2 1 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 0 2 1 2 2 1 0 2 2 2 0 2 2 2 1 2 1 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;5.51;"0 : 26,1 : 38,2 : 87";15;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 2 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 2 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 1 2 2 2 2 0 1 2 2 1 2 2 1 2 2 2 2 0 2 2 2 2 2 1 2 2 0 2 2 0 0 2 2 2 1 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 2 0 2 1 2 2 2 1 1 2 1 2 0 2 2 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 "
3;6.99;"0 : 43,1 : 92,2 : 16";17;"1 1 0 0 0 0 1 2 0 0 0 2 1 0 1 0 0 2 0 2 0 1 2 0 2 2 2 2 0 0 0 2 0 2 0 0 0 0 0 0 1 2 1 1 2 2 1 1 0 1 1 0 1 0 1 1 2 0 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 2 1 1 1 1 1 1 1 0 0 0 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 "
3;7.086;"0 : 39,1 : 92,2 : 20";16;"1 1 0 2 0 0 1 0 0 2 0 2 1 0 1 0 2 2 0 2 0 1 2 0 2 2 2 2 0 0 0 2 0 2 0 2 0 0 2 0 1 2 1 1 2 2 1 1 0 1 1 0 1 0 1 1 2 0 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 2 1 1 1 1 1 1 1 0 0 0 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 "
3;8.217;"0 : 45,1 : 97,2 : 9";14;"0 0 0 1 0 0 0 0 0 0 2 1 0 1 0 1 1 1 0 1 0 0 1 0 1 1 1 1 0 1 0 0 0 1 2 1 0 0 1 0 1 1 1 1 1 1 1 1 2 1 1 0 2 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 2 1 0 1 2 1 1 1 1 1 1 0 1 1 1 2 0 0 0 2 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 "
