"Numero di Clusters";"DB index";"Individui per cluster (Numero cluster: numero elementi)";"Numero di riga";"Cluster"
3;4.003;"0 : 33,1 : 22,2 : 96";23;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 0 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 2 0 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;4.065;"0 : 32,1 : 22,2 : 97";21;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 2 0 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
4;6.703;"0 : 28,1 : 103,2 : 11,3 : 9";4;"1 1 0 2 0 0 0 2 0 1 0 2 0 2 3 2 2 2 3 2 0 3 1 0 0 1 2 1 0 1 2 0 0 1 0 1 1 2 1 0 1 1 1 1 1 1 1 1 0 1 1 3 1 3 1 1 1 0 1 0 1 3 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 0 3 1 3 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
4;7.214;"0 : 35,1 : 101,2 : 8,3 : 7";8;"0 0 1 0 0 0 0 2 0 0 3 2 1 2 1 0 0 2 0 2 0 1 0 0 0 1 2 1 0 2 0 2 0 1 3 1 0 0 1 0 1 1 1 1 1 1 1 1 3 1 1 0 3 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 3 1 0 1 1 1 1 1 1 1 0 1 1 1 1 3 1 1 1 3 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
5;6.002;"0 : 18,1 : 105,2 : 13,3 : 7,4 : 8";2;"1 1 0 2 0 0 0 2 0 1 3 2 0 2 4 2 2 2 4 2 2 4 1 0 2 1 2 1 0 1 2 0 0 1 3 1 1 2 1 0 1 1 1 1 1 1 1 1 3 1 1 4 1 4 1 1 1 0 1 0 1 4 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 3 1 1 1 1 1 0 0 1 1 1 3 4 1 1 3 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
5;6.007;"0 : 18,1 : 104,2 : 13,3 : 7,4 : 9";3;"1 1 0 2 0 0 0 2 0 1 3 2 0 2 4 2 2 2 4 2 2 4 1 0 2 1 2 1 0 1 2 0 0 1 3 1 1 2 1 0 1 1 1 1 1 1 1 1 3 1 1 4 1 4 1 1 1 0 1 0 1 4 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 3 1 1 1 1 1 0 0 1 1 1 3 4 1 4 3 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
6;5.341;"0 : 45,1 : 10,2 : 78,3 : 7,4 : 5,5 : 6";18;"1 1 0 2 0 0 3 0 0 0 4 2 3 0 5 0 2 2 0 2 0 5 2 0 0 2 2 2 0 0 0 0 0 2 0 2 0 0 2 0 3 2 2 0 2 2 3 2 4 2 3 0 1 0 2 2 2 0 1 0 2 5 0 2 3 2 2 0 2 0 2 0 2 2 2 1 2 2 5 2 2 1 0 2 2 2 3 2 2 2 1 2 2 0 2 0 2 0 2 2 2 2 0 0 0 2 2 2 4 0 0 5 4 0 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 5 2 1 2 2 2 0 2 2 4 2 0 1 2 2 2 2 1 2 2 0 2 "
